Symbol,Price
CENTRUM,26.43
CENTUM,2488.6
CENTURYPLY,777.5
CERA,5191.5
CEREBRAINT,5.24
CESC,154.06
CEWATER,414.25
CGCL,179.3
CGPOWER,685.1
CHALET,877.1
CHAMBLFERT,460.0
CHEMBOND,156.83
CHEMBONDCH,164.43
CHEMCON,185.85
CHEMFAB,401.8
CHEMPLASTS,333.9
CHENNPETRO,897.6
CHEVIOT,1073.0
CHOICEIN,766.65
CHOLAFIN,1731.8
CHOLAHLDNG,1758.9
CIEINDIA,449.8
CIFL,32.81
CIGNITITEC,1390.3
CINELINE,87.25
CINEVISTA,15.67
CIPLA,1330.0
CLEAN,773.05
CLEDUCATE,51.06
CLSEL,274.78
CMSINFO,314.7
CNL,654.1
COALINDIA,419.15
COASTCORP,51.31
COCHINSHIP,1500.4
COFFEEDAY,31.55
COFORGE,1421.5
COHANCE,350.75
COLPAL,2138.9
COMPINFO,1.5
COMPUSOFT,14.86
COMSYN,182.33
CONCOR,506.85
CONCORDBIO,1228.9
CONFIPET,34.11
CONSOFINVT,239.8
CONTROLPR,623.3
CORALFINAC,36.24
CORDSCABLE,177.25
COROMANDEL,2270.2
CORONA,1614.1
COSMOFIRST,700.0
COUNCODOS,5.1
CPCAP,96.63
CPEDU,220.58
CPPLUS,1546.2
CRAFTSMAN,7973.5
CRAMC,260.05
CREATIVEYE,6.77
CREDITACC,1267.8
CREST,363.6
CRISIL,4665.2
CRIZAC,240.35
CROMPTON,264.4
CROWN,155.34
CSBBANK,403.85
CSLFINANCE,262.7
CTE,35.32
CUB,286.4
CUBEXTUB,119.37
CUMMINSIND,4429.3
CUPID,429.25
CURAA,88.0
CYBERMEDIA,15.51
CYBERTECH,130.72
CYIENT,1017.0
CYIENTDLM,364.45
DABUR,519.55
DALBHARAT,2171.2
DALMIASUG,299.9
DAMCAPITAL,165.04
DAMODARIND,26.3
DANGEE,3.59
DATAMATICS,758.3
DATAPATTNS,2783.3
DAVANGERE,4.5
DBCORP,238.47
DBEIL,91.46
DBL,453.4
DBOL,100.46
DBREALTY,131.57
DBSTOCKBRO,24.96
DCAL,208.68
DCBBANK,190.31
DCI,242.11
DCM,86.66
DCMFINSERV,4.42
DCMNVL,143.55
DCMSHRIRAM,1132.6
DCMSRIND,39.27
DCW,52.8
DCXINDIA,166.57
DDEVPLSTIK,287.55
DECCANCE,699.0
DEEDEV,211.36
DEEPAKFERT,1044.5
DEEPAKNTR,1657.3
DEEPINDS,408.45
DELHIVERY,429.55
DELPHIFX,228.13
DELTACORP,68.23
DELTAMAGNT,66.0
DEN,29.04
DENORA,630.85
